personName
Garrett Camp
Chen Lip Keong
Choo Chong Ngen
Euisun Chung
Smita Crishna-Godrej
Eleanor Butt Crook & family
Du Jiangtao & family
Lorenzo Fertitta
Sebastian Glaser
Adi Godrej
Jamshyd Godrej
Lee Yeow Chor
Li Weiguo
Dmitry Mazepin
"Drayton McLane, Jr."
Najib Mikati
Taha Mikati
Akira Mori & family
Rishad Naoroji
Philip Niarchos
Nandan Nilekani
Benjamin Otto
Maren Otto
Ranjan Pai
Madhukar Parekh
Sean Parker
Stewart Rahr
Su Hua
Sun Shoukuan
Tseng Cheng
Tung Chee Hwa
Meg Whitman
Wong Luen Hei
Chenghai Ye & family
Zhu Xingming
Jose Joao Abdalla Filho
Juan Abello
Suhail Bahwan
Madhur Bajaj
Niraj Bajaj
Shekhar Bajaj
Harindarpal Banga
Ulrike Baro
Anne Beaufour
Henri Beaufour
Andrei Bokarev
Jack Cowin
Glenn Dubin
N. Murray Edwards
"Frank Fertitta, III."
Abhay Firodia
Bruce Flatt
Miguel Fluxa Rossello
Robert Friedland
Alexander Frolov
Nadir Godrej
Maggie Hardy
Nithin Kamath
Samvel Karapetyan
Kei Hoi Pang
Mustafa Rahmi Koc
Yuri Kovalchuk & family
Geoffrey Kwok
Jonathan Kwok
Hans Langer
Frank Laukien
Maritsa Lazari & family
Angela Leong
Li Zhongchu
Liang Yunchao
Vincent McMahon
Patrice Motsepe
Denis O'Brien
Timm Oberwelland
Dan Olsson
Yuji Otsuka
Pan Dong
Karsanbhai Patel
Richard Peery
Gianfelice Rocca
Paolo Rocca
Wayne Rothbaum
Jeff Rothschild
Raj Sardana
Christiane Schoeller
Salil Singhal
Alexander Skorobogatko
Evan Spiegel
Glen Taylor
Thomas Tull
Bulat Utemuratov
Gustav Magnar Witzoe
Wong Man Li
Guangming Wu
Zhu Yi
Ben Ashkenazy
Felix Baker
Julian Baker
David Baszucki
Joesley Batista
Wesley Batista
Yvonne Bauer
Miriam Baumann-Blocher
Cen Junda
Richard Chandler
Chen Zhiping
Fernando Chico Pardo
Ray Davis
Maria Del Pino
Deng Weiming & family
"John Dorrance, III."
Carl Douglas
Eric Douglas
Fiona Geminder
Stewart Horejsi & family
Hou Juncheng
Zhenda Huang & family
Dmitry Kamenshchik
Alicia Koplowitz
Adam Kwok
Henry Laufer
Louis Le Duff
Mark Leonard & family
Li Guoqiang
Li Yongxin
Peter Lim
Lu Weiding
Sergio Mantegazza
Hans Melchers
C. Dean Metropoulos
Hans Georg Naeder
Falguni Nayar
James Packer
Alexander Ponomarenko
Nicholas Pritzker
Alejandro Santo Domingo
Steven Sarowitz
Maria-Elisabeth Schaeffler-Thumann
Leonard Schleifer
Dieter Schnabel
Michael S. Smith
Julia Thiele-Schuerhoff
John Tyson & family
Anna Katharina Viessmann
Jurgen Wirtgen
Stefan Wirtgen
Zhao Lixin
Hongyi Zhou
S. Daniel Abraham
Bill Alfond
Susan Alfond
Ted Alfond
Riley Bechtel & family
Thor Bjorgolfsson
Charles Bronfman
Vivek Chand Burman
Herb Chambers
Cheng Yixiao
Andrew Cherng
Peggy Cherng
Leon G. Cooperman
Yadu Hari Dalmia & family
Henry Davis
Oleg Deripaska
Sergey Dmitriev
Joseph Edelman
Sandeep Engineer
Alceu Elias Feldmann & family
Serge Godin
Alec Gores
Bill Haslam
J. Tomilson Hill
Jay-Z
Baba Kalyani
Saban Cemil Kazanci
Brad Kelley
Wolfgang Leitner
Li Hongxin & family
Lin Chen-hai
Lu Yiwen
Prayudh Mahagitsiri
Willy Michel
Lachhman Das Mittal
Bobby Murphy
Tomas Olivo Lopez
Eren Ozmen
John Pritzker
Qiu Minxiu
Ferit Faik Sahenk
Wenrong Shen
Yuzhu Shi
Jeff Sutton
"Henry Sy, Jr."
Andrew Tan
Arvind Tiku
Byron Trott
Donald Trump
Peter Unger
Roger Wang
Oprah Winfrey
Wu Zhigang & family
Xie Weitong
Ye Guofu
Brian Acton
Abdulla Al Futtaim & family
Edward Bass
Koos Bekker
